91	面	85687	18309530	40.3503%
92	公	85605	18395135	40.5389%
93	同	85092	18480227	40.7265%
94	三	84156	18564383	40.9119%
95	已	83384	18647767	41.0957%
96	老	82861	18730628	41.2783%
97	从	82513	18813141	41.4601%
98	动	80928	18894069	41.6385%
99	两	80311	18974380	41.8155%
100	长	80167	19054547	41.9921%
101	知	80093	19134640	42.1687%
102	民	79041	19213681	42.3428%
103	样	77021	19290702	42.5126%
104	现	76854	19367556	42.6820%
105	分	76483	19444039	42.8505%
106	将	76252	19520291	43.0185%
107	外	76100	19596391	43.1863%
108	但	76092	19672483	43.3539%
109	身	76015	19748498	43.5215%
110	些	75331	19823829	43.6875%
111	与	74938	19898767	43.8526%
112	高	73845	19972612	44.0154%
113	意	73219	20045831	44.1767%
114	进	73160	20118991	44.3380%
115	把	72130	20191121	44.4969%
116	法	71903	20263024	44.6554%
117	此	71860	20334884	44.8137%
118	实	71136	20406020	44.9705%
119	回	70842	20476862	45.1266%
120	二	70512	20547374	45.2820%
121	理	70151	20617525	45.4366%
122	美	69397	20686922	45.5896%
123	点	69283	20756205	45.7422%
124	月	69243	20825448	45.8948%
125	明	69190	20894638	46.0473%
126	其	69147	20963785	46.1997%
127	种	68858	21032643	46.3514%
128	声	68809	21101452	46.5031%
129	全	68644	21170096	46.6544%
130	工	68058	21238154	46.8044%
131	己	67327	21305481	46.9527%
132	话	66678	21372159	47.0997%
133	儿	66421	21438580	47.2460%
134	者	65960	21504540	47.3914%
135	向	65235	21569775	47.5352%
136	情	65230	21635005	47.6789%
137	部	65132	21700137	47.8225%
138	正	64907	21765044	47.9655%
139	名	64659	21829703	48.1080%
140	定	64109	21893812	48.2493%
141	女	64003	21957815	48.3903%
142	问	63848	22021663	48.5310%
143	力	63051	22084714	48.6700%
144	机	62398	22147112	48.8075%
145	给	62106	22209218	48.9444%
146	等	61998	22271216	49.0810%
147	几	61689	22332905	49.2169%
148	很	61116	22394021	49.3516%
149	业	61049	22455070	49.4862%
150	最	60901	22515971	49.6204%
151	间	59761	22575732	49.7521%
152	新	59659	22635391	49.8836%
153	什	59325	22694716	50.0143%
154	打	58736	22753452	50.1437%
155	便	58435	22811887	50.2725%
156	位	58421	22870308	50.4013%
157	因	57807	22928115	50.5287%
158	重	57418	22985533	50.6552%
159	被	57307	23042840	50.7815%
160	走	57088	23099928	50.9073%
161	电	56726	23156654	51.0323%
162	四	56206	23212860	51.1562%
163	第	55890	23268750	51.2793%
164	门	55815	23324565	51.4024%
165	相	55616	23380181	51.5249%
166	次	55213	23435394	51.6466%
167	东	55062	23490456	51.7679%
168	政	54507	23544963	51.8881%
169	海	54373	23599336	52.0079%
170	口	54195	23653531	52.1273%
171	使	53675	23707206	52.2456%
172	教	53459	23760665	52.3634%
173	西	53334	23813999	52.4810%
174	再	53299	23867298	52.5984%
175	平	53026	23920324	52.7153%
176	真	52664	23972988	52.8313%
177	听	52600	24025588	52.9473%
178	世	52096	24077684	53.0621%
179	气	52049	24129733	53.1768%
180	信	51989	24181722	53.2913%
181	北	51460	24233182	53.4048%
182	少	51165	24284347	53.5175%
183	关	51069	24335416	53.6301%
184	并	50576	24385992	53.7415%
185	内	50450	24436442	53.8527%
186	加	49771	24486213	53.9624%
187	化	48868	24535081	54.0701%
188	由	48132	24583213	54.1761%
189	却	47666	24630879	54.2812%
190	代	47439	24678318	54.3857%
191	军	47402	24725720	54.4902%
192	产	47129	24772849	54.5941%
193	入	47024	24819873	54.6977%
194	先	46881	24866754	54.8010%
195	山	46867	24913621	54.9043%
196	五	46820	24960441	55.0075%
197	太	46753	25007194	55.1105%
198	水	46713	25053907	55.2135%
199	万	46244	25100151	55.3154%
200	市	45940	25146091	55.4166%
201	眼	45915	25192006	55.5178%
202	体	45760	25237766	55.6186%
203	别	45673	25283439	55.7193%
204	处	45371	25328810	55.8193%
205	总	45112	25373922	55.9187%
206	才	45060	25418982	56.0180%
207	场	44843	25463825	56.1168%
208	师	44743	25508568	56.2154%
209	书	44642	25553210	56.3138%
210	比	44354	25597564	56.4116%
211	住	44214	25641778	56.5090%
212	员	44101	25685879	56.6062%
213	九	43949	25729828	56.7030%
214	笑	43688	25773516	56.7993%
215	性	43463	25816979	56.8951%
216	通	43256	25860235	56.9904%
217	目	42939	25903174	57.0851%
218	华	42788	25945962	57.1794%
219	报	42740	25988702	57.2735%
220	立	42615	26031317	57.3675%
221	马	42383	26073700	57.4609%
222	命	42374	26116074	57.5542%
223	张	42232	26158306	57.6473%
224	活	42102	26200408	57.7401%
225	难	42050	26242458	57.8328%
226	神	41429	26283887	57.9241%
227	数	41403	26325290	58.0153%
228	件	41284	26366574	58.1063%
229	安	41233	26407807	58.1972%
230	表	41175	26448982	58.2879%
231	原	40810	26489792	58.3778%
232	车	40750	26530542	58.4676%
233	白	40743	26571285	58.5574%
234	应	40733	26612018	58.6472%
235	路	40688	26652706	58.7369%
236	期	40573	26693279	58.8263%
237	叫	40534	26733813	58.9156%
238	死	40505	26774318	59.0049%
239	常	40471	26814789	59.0941%
240	提	40271	26855060	59.1828%
241	感	40142	26895202	59.2713%
242	金	39971	26935173	59.3594%
243	何	39961	26975134	59.4474%
244	更	39779	27014913	59.5351%
245	反	39687	27054600	59.6226%
246	合	39601	27094201	59.7098%
247	放	39556	27133757	59.7970%
248	做	39204	27172961	59.8834%
249	系	38929	27211890	59.9692%
250	计	38882	27250772	60.0549%
251	或	38697	27289469	60.1402%
252	司	38553	27328022	60.2251%
253	利	38462	27366484	60.3099%
254	受	38450	27404934	60.3946%
255	光	38439	27443373	60.4793%
256	王	38294	27481667	60.5637%
257	果	38221	27519888	60.6479%
258	亲	38146	27558034	60.7320%
259	界	37993	27596027	60.8157%
260	及	37694	27633721	60.8988%
261	今	37686	27671407	60.9819%
262	京	37423	27708830	61.0643%
263	务	37197	27746027	61.1463%
264	制	37087	27783114	61.2280%
265	解	36901	27820015	61.3094%
266	各	36332	27856347	61.3894%
267	任	36025	27892372	61.4688%
268	至	35916	27928288	61.5480%
269	清	35632	27963920	61.6265%
270	物	35494	27999414	61.7047%
271	台	35418	28034832	61.7828%
272	象	35414	28070246	61.8608%
273	记	35270	28105516	61.9385%
274	边	35166	28140682	62.0160%
275	共	35070	28175752	62.0933%
276	风	34844	28210596	62.1701%
277	战	34650	28245246	62.2465%
278	干	34609	28279855	62.3228%
279	接	34541	28314396	62.3989%
280	它	34433	28348829	62.4748%
281	许	34420	28383249	62.5506%
282	八	34349	28417598	62.6263%
283	特	34346	28451944	62.7020%
284	觉	34327	28486271	62.7777%
285	望	34248	28520519	62.8531%
286	直	34120	28554639	62.9283%
287	服	34119	28588758	63.0035%
288	毛	34073	28622831	63.0786%
289	林	33961	28656792	63.1534%
290	题	33853	28690645	63.2280%
291	建	33849	28724494	63.3026%
292	南	33794	28758288	63.3771%
293	度	33781	28792069	63.4516%
294	统	33761	28825830	63.5260%
295	色	33665	28859495	63.6002%
296	字	33585	28893080	63.6742%
297	请	33550	28926630	63.7481%
298	交	33478	28960108	63.8219%
299	爱	33393	28993501	63.8955%
300	让	33388	29026889	63.9691%
301	认	33365	29060254	64.0426%
302	算	33183	29093437	64.1157%
303	论	33043	29126480	64.1885%
304	百	33006	29159486	64.2613%
305	吃	32864	29192350	64.3337%
306	义	32810	29225160	64.4060%
307	科	32737	29257897	64.4781%
308	怎	32726	29290623	64.5503%
309	元	32599	29323222	64.6221%
310	社	32339	29355561	64.6934%
311	术	32144	29387705	64.7642%
312	结	31915	29419620	64.8346%
313	六	31777	29451397	64.9046%
314	功	31732	29483129	64.9745%
315	指	31260	29514389	65.0434%
316	思	31028	29545417	65.1118%
317	非	30967	29576384	65.1800%
318	流	30746	29607130	65.2478%
319	每	30577	29637707	65.3152%
320	青	30539	29668246	65.3825%
321	管	30468	29698714	65.4496%
322	夫	30465	29729179	65.5168%
323	连	30423	29759602	65.5838%
324	远	30262	29789864	65.6505%
325	资	30162	29820026	65.7170%
326	队	29951	29849977	65.7830%
327	跟	29662	29879639	65.8483%
328	带	29596	29909235	65.9136%
329	花	29550	29938785	65.9787%
330	快	29341	29968126	66.0433%
331	条	29301	29997427	66.1079%
332	院	29238	30026665	66.1723%
333	变	29145	30055810	66.2366%
334	联	29132	30084942	66.3008%
335	言	29130	30114072	66.3650%
336	权	29116	30143188	66.4291%
337	往	29087	30172275	66.4932%
338	展	29015	30201290	66.5572%
339	该	28984	30230274	66.6211%
340	领	28947	30259221	66.6849%
341	传	28941	30288162	66.7486%
342	近	28808	30316970	66.8121%
343	留	28758	30345728	66.8755%
344	红	28692	30374420	66.9387%
345	治	28493	30402913	67.0015%
346	决	28493	30431406	67.0643%
347	周	28456	30459862	67.1270%
348	保	28107	30487969	67.1890%
349	达	28063	30516032	67.2508%
350	办	27922	30543954	67.3123%
351	运	27913	30571867	67.3739%
352	武	27913	30599780	67.4354%
353	半	27833	30627613	67.4967%
354	候	27717	30655330	67.5578%
355	七	27706	30683036	67.6189%
356	必	27675	30710711	67.6798%
357	城	27667	30738378	67.7408%
358	父	27586	30765964	67.8016%
359	强	27565	30793529	67.8624%
360	步	27508	30821037	67.9230%
361	完	27468	30848505	67.9835%
362	革	27406	30875911	68.0439%
363	深	27259	30903170	68.1040%
364	区	27218	30930388	68.1640%
365	即	27084	30957472	68.2236%
366	求	27062	30984534	68.2833%
367	品	27057	31011591	68.3429%
368	士	27013	31038604	68.4024%
369	转	26991	31065595	68.4619%
370	量	26930	31092525	68.5213%
371	空	26724	31119249	68.5802%
372	甚	26661	31145910	68.6389%
373	众	26648	31172558	68.6977%
374	技	26480	31199038	68.7560%
375	轻	26470	31225508	68.8143%
376	程	26460	31251968	68.8727%
377	告	26377	31278345	68.9308%
378	江	26376	31304721	68.9889%
379	语	26268	31330989	69.0468%
380	英	26263	31357252	69.1047%
381	基	26250	31383502	69.1625%
382	派	26210	31409712	69.2203%
383	满	26179	31435891	69.2780%
384	式	26173	31462064	69.3357%
385	李	26161	31488225	69.3933%
386	息	25816	31514041	69.4502%
387	写	25569	31539610	69.5066%
388	呢	25566	31565176	69.5629%
389	识	25561	31590737	69.6192%
390	极	25314	31616051	69.6750%
391	令	25169	31641220	69.7305%
392	黄	25159	31666379	69.7859%
393	德	25129	31691508	69.8413%
394	收	25078	31716586	69.8966%
395	脸	25058	31741644	69.9518%
396	钱	25001	31766645	70.0069%
397	党	24862	31791507	70.0617%
398	倒	24838	31816345	70.1164%
399	未	24751	31841096	70.1710%
400	持	24433	31865529	70.2248%
